n,state_dim,N,uniform_mean,adversarial_mean,absolute_improvement,relative_improvement,adversarial_over_uniform
2,4,1,0.3501992542804,0.3619251425217999,-0.011725888241399918,-0.03348347575866381,1.0334834757586637
2,4,3,0.2856806797495,0.2620521860993,0.023628493650200033,0.08270945613444616,0.9172905438655539
2,4,10,0.2001048054289,0.1645113782767,0.035593427152199986,0.17787392499600327,0.8221260750039967
2,4,30,0.14098395303710004,0.10452826084719999,0.03645569218990005,0.25858043702538763,0.7414195629746124
2,4,100,0.10803736980041001,0.06836067408773,0.03967669571268001,0.3672497376230038,0.6327502623769962
2,4,300,0.07912058954850999,0.0473896303168,0.031730959231709994,0.40104553584317365,0.5989544641568264
2,4,1000,0.054817476038589996,0.03225157918328,0.02256589685531,0.41165515974183536,0.5883448402581646
2,4,3000,0.036773465072919995,0.022399741025539998,0.014373724047379997,0.39087216880099823,0.6091278311990018
3,6,1,0.4183131709745,0.4182795679331,3.360304139998771e-05,8.032986702691253e-05,0.9999196701329731
3,6,3,0.3224590778687,0.33819018817099994,-0.015731110302299955,-0.04878482691904677,1.0487848269190467
3,6,10,0.247857727445,0.23564810644009998,0.012209621004900029,0.04926060256729079,0.9507393974327092
3,6,30,0.2077513327204,0.1703368062309,0.0374145264895,0.1800928350233688,0.8199071649766312
3,6,100,0.1527967695836,0.12116492334440002,0.031631846239199984,0.20701907720564203,0.792980922794358
3,6,300,0.12111402049550002,0.09041705783405,0.030696962661450014,0.2534550709807421,0.7465449290192578
3,6,1000,0.09625243138386,0.06725879492743,0.028993636456429994,0.3012249772766963,0.6987750227233037
3,6,3000,0.07862865939138,0.05067005693055,0.027958602460829998,0.3555777585074162,0.6444222414925839
4,8,1,0.4567418177833999,0.46654958379370004,-0.009807766010300145,-0.02147332612962378,1.0214733261296238
4,8,3,0.3631941185182,0.3757791968787,-0.01258507836049999,-0.0346511072697047,1.0346511072697047
4,8,10,0.29158266962130003,0.290500301371,0.0010823682503000032,0.0037120458897840357,0.996287954110216
4,8,30,0.2436089102964,0.2186262065524,0.024982703743999995,0.10255250398519264,0.8974474960148073
4,8,100,0.20465165101369998,0.1660949261734,0.03855672484029998,0.1884017287391387,0.8115982712608613
4,8,300,0.17853501612710002,0.1322996618739,0.04623535425320002,0.2589707904710683,0.7410292095289317
4,8,1000,0.13898667880059998,0.1019067680324,0.03707991076819998,0.26678751581219823,0.7332124841878017
4,8,3000,0.11601968159,0.08053679752815,0.035482884061850004,0.3058350408790326,0.6941649591209673
